x,y
4545,6126
4850,6088
4965,6088
5257,6317
5473,6228
5574,6304
5688,6355
5701,6469
5777,6571
6031,6532
6026,6317
5739,6063
5473,6063
5193,5707
5117,5618
4952,5478
4812,5491
4812,5605
4698,5605
4584,5821
4126,5936
4050,5745
3936,5783
3872,5961
3923,6266
3745,6342
3396,6367
3288,6007
2844,5872
2717,5872
2933,5364
3326,5641
3529,5478
3949,5288
4012,5402
4101,5478
4228,5504
4634,5224
4342,4729
4177,4729
4012,4729
3847,4539
3288,4619
3288,5000
2704,4564
2552,4589
2107,4379
1743,4450
1917,4920
2463,4158
1939,3751
1467,3396
1434,3281
1345,3192
1256,3103
1358,2799
1993,2989
2263,3142
2450,3345
2844,3408
2945,3446
2374,2634
1968,2316
1955,1935
1955,1745
1955,1491
1764,1491
1574,1491
1574,1745
1574,1935
1487,2202
393,1643
393,1516
278,1833
2717,1745
2717,1935
3098,1935
3098,1745
3098,1491
2907,1491
2717,1491
3352,1491
3249,2189
2951,2494
3733,2443
4952,2976
5434,3789
5668,3990
5749,4066
5831,4142
5912,4221
5869,4605
5828,4810
5942,5085
6090,5389
6165,5745
6761,5897
6908,5707
7098,5707
7289,5809
7098,6190
6761,6177
6761,6329
6730,6842
6463,7333
6260,7333
6052,7228
5904,7206
5790,7142
5473,7142
5930,6809
5460,6520
5346,6494
5346,6685
5168,6685
5053,6647
4965,6571
4177,6659
3638,6621
3631,7002
3225,7345
3225,7472
3316,7650
3822,7561
4114,7701
4158,7955
4132,8069
4158,8196
4132,8310
3796,8285
4533,7802
4668,7858
4886,8318
5036,8938
3542,9707
3466,9631
3009,8869
3098,8780
2520,8780
2520,8882
1764,9174
1360,9467
1256,8349
1599,8369
1917,8330
2298,8158
2115,7505
2032,7441
2171,7028
2298,6825
2717,7142
2844,7142
2717,7269
1751,6812
1751,6494
1904,6177
1790,5936
1276,6329
4571,3983
4876,4094
4821,4412
5130,4615
5320,4488
5358,5103
5307,5212
5422,5212
5498,5468
6654,5351
6768,5199
6844,5402
6971,4996
6886,4780
6886,4666
6882,4424
6852,2519
8053,2189
10528,2334
10972,2333
10502,3689
10502,4118
11162,7294
12242,8412
7019,7390
6666,7828
6730,7929
5000,10063
2717,9682
1447,8730
2247,8603
2298,7866
2298,7396
1751,6964
